formula,MUC,time(ms)
counterCarry16.alaska,"['a', '(false R ((! a) | ((((((((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X (! a)))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X a)))))))))))))))))))']",320
spec_c_4.alaska
unsat198.txt,"['((((true U (go & ta)) | (true U (cc & tc))) | (true U ((ta & (X (! tc))) | ((! ta) & (X tc))))) | (((! ca) | (! go)) & (X cc)))', '(false R (((! ta) | (X tc)) & ((N (! tc)) | ta)))', '(false R ((! ta) | (! go)))', '(false R ((! tc) | (! cc)))', '(false R ((N (! cc)) | (ca & go)))']",0
pltl-12-0-19-3-0-200006.alaska,['(false R (((X p1) | (X (! p2))) | (X (! p10))))'],50
phltl_25_24.alaska,"['(false R (true U p13))', '(false R ((! p13) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p13))))))))))))))))))))))))))']",1200
pltl-12-0-40-3-0-200007.alaska,['(false R (((X p8) | (X (! p6))) | (X (! p2))))'],190
pltl-12-0-53-3-0-200003.alaska,['(false R (((X (! p5)) | (X p11)) | (X (! p3))))'],390
pltl-5-0-18-3-0-200000.alaska,['(false R (((X p4) | (X p1)) | (X (! p5))))'],10
forobotsr1f0_FGn_mf.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",0
pltl-12-0-84-3-0-200002.alaska
unsat103.txt,"['(false R ((! h) | (X p)))', '(true U ((m & (X p)) | (false R h)))', '(false R ((! m) | (X (! p))))']",0
spec_c_8.alaska
pltl-5-0-11-3-0-200000.alaska,['(false R (((X (! p1)) | (X p5)) | (X (! p4))))'],0
unsat203.txt,"['(X ((false R ((! ack) & delivered)) | (true U ((ack & (! delivered)) & send))))', '(false R ((! send) | ((! ack) U delivered)))', '(false R ((! delivered) | ((! send) U ack)))']",0
pltl-12-0-22-3-0-200009.alaska,['(false R (((X (! p10)) | (X p6)) | (X p4)))'],50
pltl-5-0-35-3-0-200005.alaska,['(false R (((X (! p5)) | (X p3)) | (X (! p4))))'],80
unsat161.txt,"['(false R ((! p) | (s R (q | s))))', '((q & (! r)) | (p & ((! s) U ((! q) & (! s)))))', '(false R ((! q) | r))']",0
pltl-5-0-32-3-0-200000.alaska,['(false R (((X (! p1)) | (X (! p3))) | (X (! p5))))'],70
pltl-5-0-17-3-0-200003.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X p4)))'],20
pltl-5-0-4-3-0-200009.alaska,['(false R (((X p5) | (X p2)) | (X (! p3))))'],0
pltl-12-0-16-3-0-200002.alaska,['(false R (((X p10) | (X p11)) | (X (! p8))))'],30
unsat69.txt,"['(false R (((! c) | n) | (! d)))', '(false R ((((! c) | (! m)) | (! n)) | d))', '(true U (((false R a) & (true U ((c & (! d)) & n))) R (((false R a) & (true U ((c & (! d)) & n))) | ((((! c) & (! h)) & i) R ((((! c) & (! h)) & i) | (false R ((c & d) & (! n))))))))', '(false R ((! a) | m))', '(false R (h | (! n)))', '(false R (n | (! i)))']",10
unsat143.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
spec_cl_5.alaska,['(false R ((((! BtoS_ACK2) & (X BtoS_ACK2)) & (X (((! SLC0) & SLC1) & (! SLC2)))) | ((BtoS_ACK2 | (X (! BtoS_ACK2))) & (X ((SLC0 | (! SLC1)) | SLC2)))))'],62260
counterLinear7.alaska,"['a', '(false R (((! a) | b) | (X ((X (X (X (X (X (X b)))))) & ((((! a) & ((! b) | (X (X (X (X (X (X (X b))))))))) & (b | (X (X (X (X (X (X (X (! b)))))))))) U a)))))', '(false R (((! a) | (! b)) | (X ((X (X (X (X (X (X (! b))))))) & (((b & (! a)) & (X (X (X (X (X (X (X (! b))))))))) U (a | (((! a) & (! b)) & (X ((X (X (X (X (X (X b)))))) & ((((! a) & ((! b) | (X (X (X (X (X (X (X b))))))))) & (b | (X (X (X (X (X (X (X (! b)))))))))) U a))))))))))']",30
lift_f_l_13.alaska,"['(false R ((((((((((((((! b0) | (true U f0)) & ((! b1) | (true U f1))) & ((! b2) | (true U f2))) & ((! b3) | (true U f3))) & ((! b4) | (true U f4))) & ((! b5) | (true U f5))) & ((! b6) | (true U f6))) & ((! b7) | (true U f7))) & ((! b8) | (true U f8))) & ((! b9) | (true U f9))) & ((! b10) | (true U f10))) & ((! b11) | (true U f11))) & ((! b12) | (true U f12))))', '(false R (true U b0))', '(false R (((((((((((((! f0) | ((((((((((((! f1) & (! f2)) & (! f3)) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12))) & ((! f1) | (((((((((((! f2) & (! f3)) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f2) | ((((((((((! f3) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f3) | (((((((((! f4) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f4) | ((((((((! f5) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f5) | (((((((! f6) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f6) | ((((((! f7) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f7) | (((((! f8) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f8) | ((((! f9) & (! f10)) & (! f11)) & (! f12)))) & ((! f9) | (((! f10) & (! f11)) & (! f12)))) & ((! f10) | ((! f11) & (! f12)))) & ((! f11) | (! f12))))', '(false R (true U b1))']",207940
pltl-5-0-15-3-0-200005.alaska,['(false R (((X (! p5)) | (X (! p4))) | (X (! p3))))'],10
pltl-12-0-54-3-0-200004.alaska
counter10.alaska,"['a', '(false R ((! a) | ((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X a)))))))))))))']",170
pltl-12-0-1-3-0-200008.alaska,['(false R (((X p1) | (X p2)) | (X p10)))'],0
unsat136.txt,"['(false R ((! q) | p))', '(X ((p & (false R (! q))) | (true U ((! p) & q))))', '(false R ((! p) | (true U q)))']",0
unsat52.txt,"['(false R (p | ((! m) & (X l))))', '(false R ((! l) | (true U (! l))))', '(((((! l) & (! m)) & p) | (true U ((! p) & (m | (X (! l)))))) | (true U (false R l)))', '(false R ((l | (! p)) | m))']",0
lift_b_l_13.alaska,"['(! bf2)', '(false R (((((((((((((((! u) | ((((((! bf0) | (X bf0)) & ((N (! bf0)) | bf0)) & (((! bf1) | (X bf1)) & ((N (! bf1)) | bf1))) & (((! bf2) | (X bf2)) & ((N (! bf2)) | bf2))) & (((! bf3) | (X bf3)) & ((N (! bf3)) | bf3)))) & ((((bf0 | bf1) | bf2) | bf3) | (X (((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3)))))) & (((((! bf0) | bf1) | bf2) | bf3) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3))) | ((((! bf0) & bf1) & (! bf2)) & (! bf3)))))) & ((((bf0 | (! bf1)) | bf2) | bf3) | (X (((((bf0 & (! bf1)) & (! bf2)) & (! bf3)) | ((((! bf0) & bf1) & (! bf2)) & (! bf3))) | (((bf0 & bf1) & (! bf2)) & (! bf3)))))) & (((((! bf0) | (! bf1)) | bf2) | bf3) | (X ((((((! bf0) & bf1) & (! bf2)) & (! bf3)) | (((bf0 & bf1) & (! bf2)) & (! bf3))) | ((((! bf0) & (! bf1)) & bf2) & (! bf3)))))) & ((((bf0 | bf1) | (! bf2)) | bf3) | (X (((((bf0 & bf1) & (! bf2)) & (! bf3)) | ((((! bf0) & (! bf1)) & bf2) & (! bf3))) | (((bf0 & (! bf1)) & bf2) & (! bf3)))))) & (((((! bf0) | bf1) | (! bf2)) | bf3) | (X ((((((! bf0) & (! bf1)) & bf2) & (! bf3)) | (((bf0 & (! bf1)) & bf2) & (! bf3))) | ((((! bf0) & bf1) & bf2) & (! bf3)))))) & ((((bf0 | (! bf1)) | (! bf2)) | bf3) | (X (((((bf0 & (! bf1)) & bf2) & (! bf3)) | ((((! bf0) & bf1) & bf2) & (! bf3))) | (((bf0 & bf1) & bf2) & (! bf3)))))) & (((((! bf0) | (! bf1)) | (! bf2)) | bf3) | (X ((((((! bf0) & bf1) & bf2) & (! bf3)) | (((bf0 & bf1) & bf2) & (! bf3))) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3))))) & ((((bf0 | bf1) | bf2) | (! bf3)) | (X (((((bf0 & bf1) & bf2) & (! bf3)) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3)) | (((bf0 & (! bf1)) & (! bf2)) & bf3))))) & (((((! bf0) | bf1) | bf2) | (! bf3)) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & bf3) | (((bf0 & (! bf1)) & (! bf2)) & bf3)) | ((((! bf0) & bf1) & (! bf2)) & bf3))))) & ((((bf0 | (! bf1)) | bf2) | (! bf3)) | (X (((((bf0 & (! bf1)) & (! bf2)) & bf3) | ((((! bf0) & bf1) & (! bf2)) & bf3)) | (((bf0 & bf1) & (! bf2)) & bf3))))) & (((((! bf0) | (! bf1)) | bf2) | (! bf3)) | (X ((((((! bf0) & bf1) & (! bf2)) & bf3) | (((bf0 & bf1) & (! bf2)) & bf3)) | ((((! bf0) & (! bf1)) & bf2) & bf3))))) & ((((bf0 | bf1) | (! bf2)) | (! bf3)) | (X ((((bf0 & bf1) & (! bf2)) & bf3) | ((((! bf0) & (! bf1)) & bf2) & bf3))))))']",48780
pltl-12-0-96-3-0-200005.alaska
lift_b_15.alaska,"['(false R (((((((((((((((((! u) | ((((((! bf0) | (X bf0)) & ((N (! bf0)) | bf0)) & (((! bf1) | (X bf1)) & ((N (! bf1)) | bf1))) & (((! bf2) | (X bf2)) & ((N (! bf2)) | bf2))) & (((! bf3) | (X bf3)) & ((N (! bf3)) | bf3)))) & ((((bf0 | bf1) | bf2) | bf3) | (X (((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3)))))) & (((((! bf0) | bf1) | bf2) | bf3) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3))) | ((((! bf0) & bf1) & (! bf2)) & (! bf3)))))) & ((((bf0 | (! bf1)) | bf2) | bf3) | (X (((((bf0 & (! bf1)) & (! bf2)) & (! bf3)) | ((((! bf0) & bf1) & (! bf2)) & (! bf3))) | (((bf0 & bf1) & (! bf2)) & (! bf3)))))) & (((((! bf0) | (! bf1)) | bf2) | bf3) | (X ((((((! bf0) & bf1) & (! bf2)) & (! bf3)) | (((bf0 & bf1) & (! bf2)) & (! bf3))) | ((((! bf0) & (! bf1)) & bf2) & (! bf3)))))) & ((((bf0 | bf1) | (! bf2)) | bf3) | (X (((((bf0 & bf1) & (! bf2)) & (! bf3)) | ((((! bf0) & (! bf1)) & bf2) & (! bf3))) | (((bf0 & (! bf1)) & bf2) & (! bf3)))))) & (((((! bf0) | bf1) | (! bf2)) | bf3) | (X ((((((! bf0) & (! bf1)) & bf2) & (! bf3)) | (((bf0 & (! bf1)) & bf2) & (! bf3))) | ((((! bf0) & bf1) & bf2) & (! bf3)))))) & ((((bf0 | (! bf1)) | (! bf2)) | bf3) | (X (((((bf0 & (! bf1)) & bf2) & (! bf3)) | ((((! bf0) & bf1) & bf2) & (! bf3))) | (((bf0 & bf1) & bf2) & (! bf3)))))) & (((((! bf0) | (! bf1)) | (! bf2)) | bf3) | (X ((((((! bf0) & bf1) & bf2) & (! bf3)) | (((bf0 & bf1) & bf2) & (! bf3))) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3))))) & ((((bf0 | bf1) | bf2) | (! bf3)) | (X (((((bf0 & bf1) & bf2) & (! bf3)) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3)) | (((bf0 & (! bf1)) & (! bf2)) & bf3))))) & (((((! bf0) | bf1) | bf2) | (! bf3)) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & bf3) | (((bf0 & (! bf1)) & (! bf2)) & bf3)) | ((((! bf0) & bf1) & (! bf2)) & bf3))))) & ((((bf0 | (! bf1)) | bf2) | (! bf3)) | (X (((((bf0 & (! bf1)) & (! bf2)) & bf3) | ((((! bf0) & bf1) & (! bf2)) & bf3)) | (((bf0 & bf1) & (! bf2)) & bf3))))) & (((((! bf0) | (! bf1)) | bf2) | (! bf3)) | (X ((((((! bf0) & bf1) & (! bf2)) & bf3) | (((bf0 & bf1) & (! bf2)) & bf3)) | ((((! bf0) & (! bf1)) & bf2) & bf3))))) & ((((bf0 | bf1) | (! bf2)) | (! bf3)) | (X (((((bf0 & bf1) & (! bf2)) & bf3) | ((((! bf0) & (! bf1)) & bf2) & bf3)) | (((bf0 & (! bf1)) & bf2) & bf3))))) & (((((! bf0) | bf1) | (! bf2)) | (! bf3)) | (X ((((((! bf0) & (! bf1)) & bf2) & bf3) | (((bf0 & (! bf1)) & bf2) & bf3)) | ((((! bf0) & bf1) & bf2) & bf3))))) & ((((bf0 | (! bf1)) | (! bf2)) | (! bf3)) | (X ((((bf0 & (! bf1)) & bf2) & bf3) | ((((! bf0) & bf1) & bf2) & bf3))))))', '(! bf3)']",810
pltl-12-0-47-3-0-200008.alaska,['(false R (((X p5) | (X p7)) | (X (! p12))))'],290
lift_f_l_16.alaska
pltl-5-0-19-3-0-200007.alaska,['(false R (((X p2) | (X p3)) | (X p5)))'],10
O2formula400.alaska
pltl-12-0-66-3-0-200001.alaska,['(false R (((X (! p9)) | (X (! p12))) | (X (! p10))))'],880
demo-v3_cl_9.alaska,"['(false R ((! req3) | (((X grant3) | (X (X grant3))) | (X (X (X grant3))))))', '(false R (true U req3))']",0
pltl-12-0-9-3-0-200005.alaska,['(false R (((X p2) | (X (! p6))) | (X (! p8))))'],10
unsat195.txt,"['((((go & ta) | (true U (cc & tc))) | (true U ((ta & (X (! tc))) | ((! ta) & (X tc))))) | (true U (((! ca) | (! go)) & (X cc))))', '(false R (((! ta) | (X tc)) & ((N (! tc)) | ta)))', '(false R ((! ta) | (! go)))', '(false R ((! tc) | (! cc)))', '(false R ((N (! cc)) | (ca & go)))']",0
pltl-5-0-12-3-0-200001.alaska,['(false R (((X (! p3)) | (X p4)) | (X (! p1))))'],0
forobotsr1f0_GF_mf.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",0
unsat84.txt,"['(false R (((! c) | n) | (! d)))', '(false R ((((! c) | (! m)) | (! n)) | d))', '((((((! h) & n) | (true U ((c & d) & (! n)))) | (true U (a & (! m)))) | (true U (i & (! n)))) | (true U (((c & (! d)) & m) & n)))', '(false R ((! a) | m))', '(false R (h | (! n)))', '(false R (n | (! i)))']",10
lift_6.alaska,"['f0', '(false R ((((((((! u) | ((((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3))) & (((! f4) | (X f4)) & ((N (! f4)) | f4))) & (((! f5) | (X f5)) & ((N (! f5)) | f5)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X ((f2 | f3) | f4)))) & ((! f4) | (X ((f3 | f4) | f5)))) & ((! f5) | (X (f4 | f5)))))']",40
pltl-5-0-22-3-0-200005.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],20
O1formula90.alaska,"['(false R c)', '(X (! c))']",0
pltl-12-0-22-3-0-200007.alaska,['(false R (((X p2) | (X (! p3))) | (X p9)))'],50
lift_f_4.alaska,"['f0', '(false R ((((((! u) | ((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X (f2 | f3)))))']",50
O1formula7.alaska,"['(X (! c))', '(false R c)']",0
pltl-12-0-66-3-0-200007.alaska
pltl-12-0-10-3-0-200004.alaska,['(false R (((X p1) | (X (! p10))) | (X (! p9))))'],10
phltl_9_8.alaska,"['(false R ((((((((((((((((! p1) | (! p2)) & ((! p1) | (! p3))) & ((! p1) | (! p4))) & ((! p1) | (! p5))) & ((! p1) | (! p6))) & ((! p1) | (! p7))) & ((! p1) | (! p8))) & ((! p1) | (! p9))) & ((((((((! p2) | (! p3)) & ((! p2) | (! p4))) & ((! p2) | (! p5))) & ((! p2) | (! p6))) & ((! p2) | (! p7))) & ((! p2) | (! p8))) & ((! p2) | (! p9)))) & (((((((! p3) | (! p4)) & ((! p3) | (! p5))) & ((! p3) | (! p6))) & ((! p3) | (! p7))) & ((! p3) | (! p8))) & ((! p3) | (! p9)))) & ((((((! p4) | (! p5)) & ((! p4) | (! p6))) & ((! p4) | (! p7))) & ((! p4) | (! p8))) & ((! p4) | (! p9)))) & (((((! p5) | (! p6)) & ((! p5) | (! p7))) & ((! p5) | (! p8))) & ((! p5) | (! p9)))) & ((((! p6) | (! p7)) & ((! p6) | (! p8))) & ((! p6) | (! p9)))) & (((! p7) | (! p8)) & ((! p7) | (! p9)))) & ((! p8) | (! p9))))', '(false R (true U p8))', '(false R (true U p9))']",30
unsat122.txt,"['(false R ((! r_0) | (true U g_0)))', '((((((((g_0 & g_m) | (true U (false R r_m))) | (true U (r_m & (X ((g_0 | g_1) R (! g_m)))))) | (true U (g_0 & g_1))) | (true U (g_1 & g_m))) | (true U (r_0 & (false R (! g_0))))) | (true U (r_1 & (false R (! g_1))))) | (true U ((r_0 & (X r_1)) & (X (X ((! g_0) | (! g_1)))))))', '(false R ((! g_0) | (! g_m)))', '(false R (((! r_0) | (N (! r_1))) | (X (X (g_0 & g_1)))))', '(false R ((! g_1) | (! g_m)))', '(false R ((! r_m) | (X (((! g_0) & (! g_1)) U g_m))))', '(false R ((! r_1) | (true U g_1)))', '(false R ((! g_0) | (! g_1)))']",60
forobotsr1f0_FGn_ra.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",0
unsat210.txt,"['((false R ((! ack) & delivered)) | (false R (X ((! ack) & send))))', '(false R ((! delivered) | ((! send) U ack)))']",0
pltl-5-0-3-3-0-200002.alaska,['(false R (((X p2) | (X (! p4))) | (X (! p5))))'],0
pltl-12-0-60-3-0-200007.alaska,['(false R (((X (! p8)) | (X p6)) | (X (! p3))))'],580
pltl-12-0-39-3-0-200005.alaska,['(false R (((X (! p5)) | (X p4)) | (X (! p3))))'],180
pltl-12-0-57-3-0-200002.alaska,['(false R (((X (! p11)) | (X p1)) | (X (! p6))))'],510
phltl_32_31.alaska,"['(false R (true U p9))', '(false R ((! p9) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p9)))))))))))))))))))))))))))))))))']",3780
