formula,MUC,time(ms)
pltl-12-0-47-3-0-200002.alaska,['(false R (((X p6) | (X p9)) | (X (! p4))))'],340
counterCarry16.alaska
spec_c_4.alaska
unsat198.txt,"['((((true U (go & ta)) | (true U (cc & tc))) | (true U ((ta & (X (! tc))) | ((! ta) & (X tc))))) | (((! ca) | (! go)) & (X cc)))', '(false R (((! ta) | (X tc)) & ((N (! tc)) | ta)))', '(false R ((! ta) | (! go)))', '(false R ((! tc) | (! cc)))', '(false R ((N (! cc)) | (ca & go)))']",0
pltl-12-0-19-3-0-200006.alaska,['(false R (((X p1) | (X (! p2))) | (X (! p10))))'],40
phltl_25_24.alaska,"['(false R (true U p25))', '(false R ((! p25) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p25))))))))))))))))))))))))))']",69810
pltl-12-0-40-3-0-200007.alaska,['(false R (((X p8) | (X (! p6))) | (X (! p2))))'],230
pltl-12-0-53-3-0-200003.alaska,['(false R (((X (! p5)) | (X p11)) | (X (! p3))))'],480
pltl-5-0-18-3-0-200000.alaska,['(false R (((X p4) | (X p1)) | (X (! p5))))'],10
forobotsr1f0_FGn_mf.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",20
pltl-12-0-84-3-0-200002.alaska
unsat103.txt,"['(false R ((! h) | (X p)))', '(true U ((m & (X p)) | (false R h)))', '(false R ((! m) | (X (! p))))']",0
spec_c_8.alaska
pltl-5-0-11-3-0-200000.alaska,['(false R (((X (! p1)) | (X p5)) | (X (! p4))))'],0
unsat203.txt,"['(X ((false R ((! ack) & delivered)) | (true U ((ack & (! delivered)) & send))))', '(false R ((! send) | ((! ack) U delivered)))', '(false R ((! delivered) | ((! send) U ack)))']",0
pltl-12-0-22-3-0-200009.alaska,['(false R (((X (! p10)) | (X p6)) | (X p4)))'],70
pltl-5-0-35-3-0-200005.alaska,['(false R (((X (! p5)) | (X p3)) | (X (! p4))))'],100
unsat161.txt,"['(false R ((! p) | (s R (q | s))))', '((q & (! r)) | (p & ((! s) U ((! q) & (! s)))))', '(false R ((! q) | r))']",0
pltl-5-0-32-3-0-200000.alaska,['(false R (((X (! p1)) | (X (! p3))) | (X (! p5))))'],70
pltl-5-0-17-3-0-200003.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X p4)))'],10
pltl-5-0-4-3-0-200009.alaska,['(false R (((X p5) | (X p2)) | (X (! p3))))'],0
pltl-12-0-16-3-0-200002.alaska,['(false R (((X p10) | (X p11)) | (X (! p8))))'],30
unsat69.txt,"['(false R (((! c) | n) | (! d)))', '(false R ((((! c) | (! m)) | (! n)) | d))', '(true U (((false R a) & (true U ((c & (! d)) & n))) R (((false R a) & (true U ((c & (! d)) & n))) | ((((! c) & (! h)) & i) R ((((! c) & (! h)) & i) | (false R ((c & d) & (! n))))))))', '(false R ((! a) | m))', '(false R (h | (! n)))', '(false R (n | (! i)))']",0
unsat143.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
spec_cl_5.alaska,['(false R ((((! BtoS_ACK2) & (X BtoS_ACK2)) & (X (((! SLC0) & SLC1) & (! SLC2)))) | ((BtoS_ACK2 | (X (! BtoS_ACK2))) & (X ((SLC0 | (! SLC1)) | SLC2)))))'],215030
counterLinear7.alaska,"['a', '(false R ((! a) | (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X a)))))))))))))))']",30
lift_f_l_13.alaska
pltl-5-0-15-3-0-200005.alaska,['(false R (((X (! p5)) | (X (! p4))) | (X (! p3))))'],0
pltl-12-0-54-3-0-200004.alaska
counter10.alaska,"['a', '(false R ((! a) | ((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X a)))))))))))))']",400
pltl-12-0-1-3-0-200008.alaska,['(false R (((X p1) | (X p2)) | (X p10)))'],0
unsat136.txt,"['(false R ((! q) | p))', '(X ((p & (false R (! q))) | (true U ((! p) & q))))', '(false R ((! p) | (true U q)))']",0
unsat52.txt,"['(false R (p | ((! m) & (X l))))', '(false R ((! l) | (true U (! l))))', '(((((! l) & (! m)) & p) | (true U ((! p) & (m | (X (! l)))))) | (true U (false R l)))', '(false R ((l | (! p)) | m))']",0
lift_b_l_13.alaska
pltl-12-0-96-3-0-200005.alaska
lift_b_15.alaska,"['(false R (((((((((((((((((! u) | ((((((! bf0) | (X bf0)) & ((N (! bf0)) | bf0)) & (((! bf1) | (X bf1)) & ((N (! bf1)) | bf1))) & (((! bf2) | (X bf2)) & ((N (! bf2)) | bf2))) & (((! bf3) | (X bf3)) & ((N (! bf3)) | bf3)))) & ((((bf0 | bf1) | bf2) | bf3) | (X (((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3)))))) & (((((! bf0) | bf1) | bf2) | bf3) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & (! bf3)) | (((bf0 & (! bf1)) & (! bf2)) & (! bf3))) | ((((! bf0) & bf1) & (! bf2)) & (! bf3)))))) & ((((bf0 | (! bf1)) | bf2) | bf3) | (X (((((bf0 & (! bf1)) & (! bf2)) & (! bf3)) | ((((! bf0) & bf1) & (! bf2)) & (! bf3))) | (((bf0 & bf1) & (! bf2)) & (! bf3)))))) & (((((! bf0) | (! bf1)) | bf2) | bf3) | (X ((((((! bf0) & bf1) & (! bf2)) & (! bf3)) | (((bf0 & bf1) & (! bf2)) & (! bf3))) | ((((! bf0) & (! bf1)) & bf2) & (! bf3)))))) & ((((bf0 | bf1) | (! bf2)) | bf3) | (X (((((bf0 & bf1) & (! bf2)) & (! bf3)) | ((((! bf0) & (! bf1)) & bf2) & (! bf3))) | (((bf0 & (! bf1)) & bf2) & (! bf3)))))) & (((((! bf0) | bf1) | (! bf2)) | bf3) | (X ((((((! bf0) & (! bf1)) & bf2) & (! bf3)) | (((bf0 & (! bf1)) & bf2) & (! bf3))) | ((((! bf0) & bf1) & bf2) & (! bf3)))))) & ((((bf0 | (! bf1)) | (! bf2)) | bf3) | (X (((((bf0 & (! bf1)) & bf2) & (! bf3)) | ((((! bf0) & bf1) & bf2) & (! bf3))) | (((bf0 & bf1) & bf2) & (! bf3)))))) & (((((! bf0) | (! bf1)) | (! bf2)) | bf3) | (X ((((((! bf0) & bf1) & bf2) & (! bf3)) | (((bf0 & bf1) & bf2) & (! bf3))) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3))))) & ((((bf0 | bf1) | bf2) | (! bf3)) | (X (((((bf0 & bf1) & bf2) & (! bf3)) | ((((! bf0) & (! bf1)) & (! bf2)) & bf3)) | (((bf0 & (! bf1)) & (! bf2)) & bf3))))) & (((((! bf0) | bf1) | bf2) | (! bf3)) | (X ((((((! bf0) & (! bf1)) & (! bf2)) & bf3) | (((bf0 & (! bf1)) & (! bf2)) & bf3)) | ((((! bf0) & bf1) & (! bf2)) & bf3))))) & ((((bf0 | (! bf1)) | bf2) | (! bf3)) | (X (((((bf0 & (! bf1)) & (! bf2)) & bf3) | ((((! bf0) & bf1) & (! bf2)) & bf3)) | (((bf0 & bf1) & (! bf2)) & bf3))))) & (((((! bf0) | (! bf1)) | bf2) | (! bf3)) | (X ((((((! bf0) & bf1) & (! bf2)) & bf3) | (((bf0 & bf1) & (! bf2)) & bf3)) | ((((! bf0) & (! bf1)) & bf2) & bf3))))) & ((((bf0 | bf1) | (! bf2)) | (! bf3)) | (X (((((bf0 & bf1) & (! bf2)) & bf3) | ((((! bf0) & (! bf1)) & bf2) & bf3)) | (((bf0 & (! bf1)) & bf2) & bf3))))) & (((((! bf0) | bf1) | (! bf2)) | (! bf3)) | (X ((((((! bf0) & (! bf1)) & bf2) & bf3) | (((bf0 & (! bf1)) & bf2) & bf3)) | ((((! bf0) & bf1) & bf2) & bf3))))) & ((((bf0 | (! bf1)) | (! bf2)) | (! bf3)) | (X ((((bf0 & (! bf1)) & bf2) & bf3) | ((((! bf0) & bf1) & bf2) & bf3))))))', '(! bf3)']",7780
pltl-12-0-47-3-0-200008.alaska,['(false R (((X p5) | (X p7)) | (X (! p12))))'],350
lift_f_l_16.alaska
pltl-5-0-19-3-0-200007.alaska,['(false R (((X p2) | (X p3)) | (X p5)))'],10
O2formula400.alaska
pltl-12-0-66-3-0-200001.alaska,['(false R (((X (! p9)) | (X (! p12))) | (X (! p10))))'],700
demo-v3_cl_9.alaska,"['(false R ((! req6) | (((X grant6) | (X (X grant6))) | (X (X (X grant6))))))', '(false R (true U req6))']",380
pltl-12-0-9-3-0-200005.alaska,['(false R (((X p2) | (X (! p6))) | (X (! p8))))'],10
unsat195.txt,"['((((go & ta) | (true U (cc & tc))) | (true U ((ta & (X (! tc))) | ((! ta) & (X tc))))) | (true U (((! ca) | (! go)) & (X cc))))', '(false R (((! ta) | (X tc)) & ((N (! tc)) | ta)))', '(false R ((! ta) | (! go)))', '(false R ((! tc) | (! cc)))', '(false R ((N (! cc)) | (ca & go)))']",0
pltl-5-0-12-3-0-200001.alaska,['(false R (((X (! p3)) | (X p4)) | (X (! p1))))'],0
forobotsr1f0_GF_mf.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",20
unsat84.txt,"['(false R (((! c) | n) | (! d)))', '(false R ((((! c) | (! m)) | (! n)) | d))', '((((((! h) & n) | (true U ((c & d) & (! n)))) | (true U (a & (! m)))) | (true U (i & (! n)))) | (true U (((c & (! d)) & m) & n)))', '(false R ((! a) | m))', '(false R (h | (! n)))', '(false R (n | (! i)))']",0
lift_6.alaska,"['f0', '(false R ((((((((! u) | ((((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3))) & (((! f4) | (X f4)) & ((N (! f4)) | f4))) & (((! f5) | (X f5)) & ((N (! f5)) | f5)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X ((f2 | f3) | f4)))) & ((! f4) | (X ((f3 | f4) | f5)))) & ((! f5) | (X (f4 | f5)))))']",100
pltl-5-0-22-3-0-200005.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],20
O1formula90.alaska,"['(false R c)', '(X (! c))']",320
pltl-12-0-22-3-0-200007.alaska,['(false R (((X p2) | (X (! p3))) | (X p9)))'],60
lift_f_4.alaska,"['f0', '(false R ((((((! u) | ((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X (f2 | f3)))))']",130
O1formula7.alaska,"['(X (! c))', '(false R c)']",0
pltl-12-0-66-3-0-200007.alaska
pltl-12-0-10-3-0-200004.alaska,['(false R (((X p1) | (X (! p10))) | (X (! p9))))'],10
phltl_9_8.alaska,"['(false R (true U p5))', '(false R ((! p5) | (X (X (X (X (X (X (X (X p5))))))))))']",110
unsat122.txt,"['(false R ((! r_0) | (true U g_0)))', '((((((((g_0 & g_m) | (true U (false R r_m))) | (true U (r_m & (X ((g_0 | g_1) R (! g_m)))))) | (true U (g_0 & g_1))) | (true U (g_1 & g_m))) | (true U (r_0 & (false R (! g_0))))) | (true U (r_1 & (false R (! g_1))))) | (true U ((r_0 & (X r_1)) & (X (X ((! g_0) | (! g_1)))))))', '(false R ((! g_0) | (! g_m)))', '(false R (((! r_0) | (N (! r_1))) | (X (X (g_0 & g_1)))))', '(false R ((! g_1) | (! g_m)))', '(false R ((! r_m) | (X (((! g_0) & (! g_1)) U g_m))))', '(false R ((! r_1) | (true U g_1)))', '(false R ((! g_0) | (! g_1)))']",20
forobotsr1f0_FGn_ra.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",20
unsat210.txt,"['(false R ((! delivered) | ((! send) U ack)))', '((false R ((! ack) & delivered)) | (false R (X ((! ack) & send))))']",0
pltl-5-0-3-3-0-200002.alaska,['(false R (((X p2) | (X (! p4))) | (X (! p5))))'],0
pltl-12-0-60-3-0-200007.alaska,['(false R (((X (! p8)) | (X p6)) | (X (! p3))))'],680
pltl-12-0-39-3-0-200005.alaska,['(false R (((X (! p5)) | (X p4)) | (X (! p3))))'],190
pltl-12-0-57-3-0-200002.alaska,['(false R (((X (! p11)) | (X p1)) | (X (! p6))))'],520
phltl_32_31.alaska,"['(false R (true U p3))', '(false R ((! p3) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p3)))))))))))))))))))))))))))))))))']",234130
phltl_26_25.alaska,"['(false R (true U p9))', '(false R ((! p9) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p9)))))))))))))))))))))))))))']",92530
unsat153.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
forobotsr1f0_FGn_ff.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",20
lift_l_17.alaska,"['(false R (((((((((((((((((((! u) | (((((((((((((((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3))) & (((! f4) | (X f4)) & ((N (! f4)) | f4))) & (((! f5) | (X f5)) & ((N (! f5)) | f5))) & (((! f6) | (X f6)) & ((N (! f6)) | f6))) & (((! f7) | (X f7)) & ((N (! f7)) | f7))) & (((! f8) | (X f8)) & ((N (! f8)) | f8))) & (((! f9) | (X f9)) & ((N (! f9)) | f9))) & (((! f10) | (X f10)) & ((N (! f10)) | f10))) & (((! f11) | (X f11)) & ((N (! f11)) | f11))) & (((! f12) | (X f12)) & ((N (! f12)) | f12))) & (((! f13) | (X f13)) & ((N (! f13)) | f13))) & (((! f14) | (X f14)) & ((N (! f14)) | f14))) & (((! f15) | (X f15)) & ((N (! f15)) | f15))) & (((! f16) | (X f16)) & ((N (! f16)) | f16)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X ((f2 | f3) | f4)))) & ((! f4) | (X ((f3 | f4) | f5)))) & ((! f5) | (X ((f4 | f5) | f6)))) & ((! f6) | (X ((f5 | f6) | f7)))) & ((! f7) | (X ((f6 | f7) | f8)))) & ((! f8) | (X ((f7 | f8) | f9)))) & ((! f9) | (X ((f8 | f9) | f10)))) & ((! f10) | (X ((f9 | f10) | f11)))) & ((! f11) | (X ((f10 | f11) | f12)))) & ((! f12) | (X ((f11 | f12) | f13)))) & ((! f13) | (X ((f12 | f13) | f14)))) & ((! f14) | (X ((f13 | f14) | f15)))) & ((! f15) | (X ((f14 | f15) | f16)))) & ((! f16) | (X (f15 | f16)))))', '(false R (true U b0))', '(false R ((((((((((((((((((u | (((((((((((((((((((! b0) | (X b0)) & ((N (! b0)) | b0)) & (((! b1) | (X b1)) & ((N (! b1)) | b1))) & (((! b2) | (X b2)) & ((N (! b2)) | b2))) & (((! b3) | (X b3)) & ((N (! b3)) | b3))) & (((! b4) | (X b4)) & ((N (! b4)) | b4))) & (((! b5) | (X b5)) & ((N (! b5)) | b5))) & (((! b6) | (X b6)) & ((N (! b6)) | b6))) & (((! b7) | (X b7)) & ((N (! b7)) | b7))) & (((! b8) | (X b8)) & ((N (! b8)) | b8))) & (((! b9) | (X b9)) & ((N (! b9)) | b9))) & (((! b10) | (X b10)) & ((N (! b10)) | b10))) & (((! b11) | (X b11)) & ((N (! b11)) | b11))) & (((! b12) | (X b12)) & ((N (! b12)) | b12))) & (((! b13) | (X b13)) & ((N (! b13)) | b13))) & (((! b14) | (X b14)) & ((N (! b14)) | b14))) & (((! b15) | (X b15)) & ((N (! b15)) | b15))) & (((! b16) | (X b16)) & ((N (! b16)) | b16)))) & (((! b0) | f0) | (X b0))) & (((! b1) | f1) | (X b1))) & (((! b2) | f2) | (X b2))) & (((! b3) | f3) | (X b3))) & (((! b4) | f4) | (X b4))) & (((! b5) | f5) | (X b5))) & (((! b6) | f6) | (X b6))) & (((! b7) | f7) | (X b7))) & (((! b8) | f8) | (X b8))) & (((! b9) | f9) | (X b9))) & (((! b10) | f10) | (X b10))) & (((! b11) | f11) | (X b11))) & (((! b12) | f12) | (X b12))) & (((! b13) | f13) | (X b13))) & (((! b14) | f14) | (X b14))) & (((! b15) | f15) | (X b15))) & (((! b16) | f16) | (X b16))))']",25200
pltl-12-0-11-3-0-200005.alaska,['(false R (((X p11) | (X p8)) | (X p2)))'],10
pltl-5-0-10-3-0-200009.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X (! p5))))'],0
pltl-5-0-21-3-0-200005.alaska,['(false R (((X (! p1)) | (X (! p5))) | (X (! p2))))'],20
O2formula1000.alaska
pltl-12-0-2-3-0-200004.alaska,['(false R (((X p12) | (X p8)) | (X (! p7))))'],0
